Data Source,World Development Indicators,,,,,,
,,,,,,,
Last Updated Date,7/1/2025,,,,,,
,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2020,2021,2022,2023
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,22855.93232,27200.06108,30559.53353,33984.79062
Africa Eastern and Southern,AFE,GDP per capita (current US$),NY.GDP.PCAP.CD,1344.10321,1522.393346,1628.318944,1568.159891
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,510.7870634,356.4962141,357.2611528,413.7578947
Africa Western and Central,AFW,GDP per capita (current US$),NY.GDP.PCAP.CD,1680.039332,1765.954788,1796.668633,1599.392983
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,1449.922867,1925.874661,2929.694455,2309.53413
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,5370.7775,6413.282808,6846.426694,8575.171346
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,37361.09007,42425.69968,42414.05901,46812.44845
Arab World,ARB,GDP per capita (current US$),NY.GDP.PCAP.CD,5722.480995,6681.708952,7931.617893,7479.688091
United Arab Emirates,ARE,GDP per capita (current US$),NY.GDP.PCAP.CD,37173.87541,43360.0211,49899.0653,49040.69475
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,8535.59938,10738.01792,13935.68111,14187.48273
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,4268.680933,4685.179971,6571.974455,8125.273958
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,14489.25866,15236.16049,18017.45894,
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,15369.60823,17348.6007,20105.19891,21494.5474
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,51791.54018,60607.77886,64997.01365,64835.91998
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,48716.40989,53648.71907,52176.66491,56033.57379
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,4229.910649,5408.045352,7770.594223,7133.02838
Burundi,BDI,GDP per capita (current US$),NY.GDP.PCAP.CD,210.0081399,214.0914554,250.6342254,192.0743054
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,45906.28758,51658.23829,50822.25185,54690.09427
Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1200.194266,1318.651581,1266.42711,1394.177847
Burkina Faso,BFA,GDP per capita (current US$),NY.GDP.PCAP.CD,825.2370388,895.5352884,836.1183046,882.6898101
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,2248.850788,2482.849178,2716.485928,2551.017738
Bulgaria,BGR,GDP per capita (current US$),NY.GDP.PCAP.CD,10769.94757,12972.21734,13999.67192,15883.86185
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,24342.84446,27147.80839,30470.52193,29290.12842
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,26178.75376,30367.86058,34957.16133,38231.77448
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,6130.311332,7295.343824,7655.59421,8663.02323
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,6542.8558,7489.718947,7994.648061,7896.753883
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,5227.193638,6122.611586,7068.454783,7459.998151
Bermuda,BMU,GDP per capita (current US$),NY.GDP.PCAP.CD,106976.5462,112765.0817,121613.94,132604.4391
Bolivia,BOL,GDP per capita (current US$),NY.GDP.PCAP.CD,3099.942191,3384.844865,3643.92827,3686.279964
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,7074.193783,7972.53665,9281.333344,10377.58928
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,18347.11091,18696.7859,22164.02603,23804.02499
Brunei Darussalam,BRN,GDP per capita (current US$),NY.GDP.PCAP.CD,26834.35925,31006.96362,36632.92804,32890.54925
Bhutan,BTN,GDP per capita (current US$),NY.GDP.PCAP.CD,3191.66907,3570.61258,3711.32768,3839.409304
Botswana,BWA,GDP per capita (current US$),NY.GDP.PCAP.CD,6323.297498,7807.887945,8328.709057,7826.353765
Central African Republic,CAF,GDP per capita (current US$),NY.GDP.PCAP.CD,462.8790713,492.2631428,467.359825,495.9788973
Canada,CAN,GDP per capita (current US$),NY.GDP.PCAP.CD,43537.8393,52886.66164,56256.80073,54220.3285
Central Europe and the Baltics,CEB,GDP per capita (current US$),NY.GDP.PCAP.CD,16595.93527,19239.8185,19548.69305,22699.53517
Switzerland,CHE,GDP per capita (current US$),NY.GDP.PCAP.CD,85897.78433,93664.77367,94394.51068,100631.8028
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,56785.9402,66912.17532,67627.30845,74589.13812
Chile,CHL,GDP per capita (current US$),NY.GDP.PCAP.CD,13114.81547,16206.83255,15405.61658,17067.03648
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,10627.4638,12887.43572,12970.60564,12951.17824
Cote d'Ivoire,CIV,GDP per capita (current US$),NY.GDP.PCAP.CD,2179.729348,2455.981276,2333.371283,2554.673049
Cameroon,CMR,GDP per capita (current US$),NY.GDP.PCAP.CD,1555.603707,1672.326573,1604.87727,1736.860911
"Congo, Dem. Rep.",COD,GDP per capita (current US$),NY.GDP.PCAP.CD,507.5212301,558.0340773,642.6122671,633.3956617
"Congo, Rep.",COG,GDP per capita (current US$),NY.GDP.PCAP.CD,1993.586672,2516.162551,2620.838043,2477.978455
Colombia,COL,GDP per capita (current US$),NY.GDP.PCAP.CD,5339.687114,6222.621644,6680.445069,7000.836605
Comoros,COM,GDP per capita (current US$),NY.GDP.PCAP.CD,1527.169909,1587.729886,1533.877553,1682.202851
Cabo Verde,CPV,GDP per capita (current US$),NY.GDP.PCAP.CD,3539.226612,3971.444092,4323.31362,4861.291841
Costa Rica,CRI,GDP per capita (current US$),NY.GDP.PCAP.CD,12394.0494,12838.11854,13625.90085,16942.02681
Caribbean small states,CSS,GDP per capita (current US$),NY.GDP.PCAP.CD,11925.7574,13833.30993,17355.83666,17582.26368
Cuba,CUB,GDP per capita (current US$),NY.GDP.PCAP.CD,9605.261251,,,
Curacao,CUW,GDP per capita (current US$),NY.GDP.PCAP.CD,16356.09333,17979.99829,20501.75228,21061.74164
Cayman Islands,CYM,GDP per capita (current US$),NY.GDP.PCAP.CD,82338.79829,86438.44526,92202.1478,97749.5079
Cyprus,CYP,GDP per capita (current US$),NY.GDP.PCAP.CD,28649.01563,33734.03516,33894.44922,36551.41797
Czechia,CZE,GDP per capita (current US$),NY.GDP.PCAP.CD,23472.89155,27696.46195,28282.22367,31591.05682
Germany,DEU,GDP per capita (current US$),NY.GDP.PCAP.CD,47379.76519,52265.65416,49686.11546,53940.40734
Djibouti,DJI,GDP per capita (current US$),NY.GDP.PCAP.CD,2844.888106,3025.911264,3133.257798,3397.520158
Dominica,DMA,GDP per capita (current US$),NY.GDP.PCAP.CD,7827.748427,8376.404141,9323.660895,9912.962128
Denmark,DNK,GDP per capita (current US$),NY.GDP.PCAP.CD,60985.48856,69727.98737,68091.31911,68453.87693
Dominican Republic,DOM,GDP per capita (current US$),NY.GDP.PCAP.CD,7135.222733,8527.075486,10104.24493,10630.43174
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,3743.541952,4160.559267,4961.552577,5364.02795
East Asia & Pacific (excluding high income),EAP,GDP per capita (current US$),NY.GDP.PCAP.CD,8391.368384,9974.6364,10106.87252,10125.76681
Early-demographic dividend,EAR,GDP per capita (current US$),NY.GDP.PCAP.CD,3250.749747,3765.510798,4113.000849,4322.182794
East Asia & Pacific,EAS,GDP per capita (current US$),NY.GDP.PCAP.CD,11595.29409,13282.76367,13084.28481,13117.90954
Europe & Central Asia (excluding high income),ECA,GDP per capita (current US$),NY.GDP.PCAP.CD,5733.417619,6623.351377,7247.609812,8571.410187
Europe & Central Asia,ECS,GDP per capita (current US$),NY.GDP.PCAP.CD,24121.4791,27591.41088,27782.86162,29835.71805
Ecuador,ECU,GDP per capita (current US$),NY.GDP.PCAP.CD,5463.645153,6061.323502,6515.585284,6737.847484
"Egypt, Arab Rep.",EGY,GDP per capita (current US$),NY.GDP.PCAP.CD,3511.11381,3827.354154,4233.307837,3456.789685
Euro area,EMU,GDP per capita (current US$),NY.GDP.PCAP.CD,38234.53359,42967.25517,41446.43228,45068.70109
Eritrea,ERI,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,
Spain,ESP,GDP per capita (current US$),NY.GDP.PCAP.CD,27233.94265,30799.47759,30270.2687,33509.0128
Estonia,EST,GDP per capita (current US$),NY.GDP.PCAP.CD,23933.99394,27953.76702,28451.14778,30133.30445
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,905.3131593,910.9478871,1011.073324,
European Union,EUU,GDP per capita (current US$),NY.GDP.PCAP.CD,34698.40321,39214.36608,37962.8295,41392.07438
Fragile and conflict affected situations,FCS,GDP per capita (current US$),NY.GDP.PCAP.CD,1689.916908,1763.845894,1903.898873,1781.8601
Finland,FIN,GDP per capita (current US$),NY.GDP.PCAP.CD,48828.68469,53099.13514,50440.56022,52821.51143
Fiji,FJI,GDP per capita (current US$),NY.GDP.PCAP.CD,4844.421272,4696.171039,5405.030062,5888.736673
France,FRA,GDP per capita (current US$),NY.GDP.PCAP.CD,39169.8606,43725.09995,41082.81193,44690.93454
Faroe Islands,FRO,GDP per capita (current US$),NY.GDP.PCAP.CD,62240.82241,68749.40056,66139.38097,71774.35224
"Micronesia, Fed. Sts.",FSM,GDP per capita (current US$),NY.GDP.PCAP.CD,3362.027931,3508.223563,3710.124485,3941.372479
Gabon,GAB,GDP per capita (current US$),NY.GDP.PCAP.CD,6605.803461,8181.409141,8409.207415,8071.397774
United Kingdom,GBR,GDP per capita (current US$),NY.GDP.PCAP.CD,40404.80622,46926.47574,46062.99141,49200.81015
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,4300.857013,5083.606955,6729.846599,8283.669607
Ghana,GHA,GDP per capita (current US$),NY.GDP.PCAP.CD,2195.454817,2445.186625,2229.891226,2383.904105
Gibraltar,GIB,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,
Guinea,GIN,GDP per capita (current US$),NY.GDP.PCAP.CD,1053.660977,1244.965505,1416.59612,1555.493758
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,720.3351434,781.8909252,836.2448756,888.1574074
Guinea-Bissau,GNB,GDP per capita (current US$),NY.GDP.PCAP.CD,836.2673142,912.4841047,873.4378619,964.9275542
Equatorial Guinea,GNQ,GDP per capita (current US$),NY.GDP.PCAP.CD,5764.055029,6945.630698,7589.299649,6677.793435
Greece,GRC,GDP per capita (current US$),NY.GDP.PCAP.CD,17886.73317,20654.7002,20971.83493,23400.72788
Grenada,GRD,GDP per capita (current US$),NY.GDP.PCAP.CD,8968.558901,9622.240505,10535.45888,11308.28742
Greenland,GRL,GDP per capita (current US$),NY.GDP.PCAP.CD,54812.66618,58135.99399,55635.00065,58498.97431
Guatemala,GTM,GDP per capita (current US$),NY.GDP.PCAP.CD,4477.617618,4912.622257,5358.701275,5758.308763
Guam,GUM,GDP per capita (current US$),NY.GDP.PCAP.CD,36482.9364,38074.87937,41833.15171,
Guyana,GUY,GDP per capita (current US$),NY.GDP.PCAP.CD,6775.709391,9860.870148,17913.49281,20473.70022
High income,HIC,GDP per capita (current US$),NY.GDP.PCAP.CD,40219.13602,45211.94105,46655.16486,48708.46247
"Hong Kong SAR, China",HKG,GDP per capita (current US$),NY.GDP.PCAP.CD,46109.22999,49770.56424,48825.84419,50565.46477
Honduras,HND,GDP per capita (current US$),NY.GDP.PCAP.CD,2307.614943,2735.147515,3003.289968,3227.457625
Heavily indebted poor countries (HIPC),HPC,GDP per capita (current US$),NY.GDP.PCAP.CD,968.074022,1049.999875,1111.391858,1173.17371
Croatia,HRV,GDP per capita (current US$),NY.GDP.PCAP.CD,14808.46202,17789.93047,18466.09555,21865.45628
Haiti,HTI,GDP per capita (current US$),NY.GDP.PCAP.CD,1290.325387,1835.443941,1760.626357,1705.758085
Hungary,HUN,GDP per capita (current US$),NY.GDP.PCAP.CD,16386.93088,19030.62813,18483.63669,22312.17903
IBRD only,IBD,GDP per capita (current US$),NY.GDP.PCAP.CD,6236.681205,7366.114738,7745.393066,7964.736753
IDA & IBRD total,IBT,GDP per capita (current US$),NY.GDP.PCAP.CD,4932.646214,5764.255489,6043.777287,6162.305888
IDA total,IDA,GDP per capita (current US$),NY.GDP.PCAP.CD,1374.492016,1465.046916,1551.173814,1480.943613
IDA blend,IDB,GDP per capita (current US$),NY.GDP.PCAP.CD,1735.425044,1857.197346,1962.521523,1729.919829
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,3853.702888,4287.17314,4730.834848,4876.307745
IDA only,IDX,GDP per capita (current US$),NY.GDP.PCAP.CD,1179.866456,1254.095721,1330.402539,1347.74691
Isle of Man,IMN,GDP per capita (current US$),NY.GDP.PCAP.CD,79513.53303,94299.96935,88328.54813,
India,IND,GDP per capita (current US$),NY.GDP.PCAP.CD,1907.042516,2239.613844,2347.448294,2530.120313
Not classified,INX,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,
Ireland,IRL,GDP per capita (current US$),NY.GDP.PCAP.CD,86622.50673,103961.9764,105234.5116,103887.8004
"Iran, Islamic Rep.",IRN,GDP per capita (current US$),NY.GDP.PCAP.CD,2988.781224,4334.792686,4405.092915,4465.637669
Iraq,IRQ,GDP per capita (current US$),NY.GDP.PCAP.CD,4295.189451,4868.494311,6520.731546,5965.318351
Iceland,ISL,GDP per capita (current US$),NY.GDP.PCAP.CD,59023.56635,69178.4047,75121.01523,79960.09615
Israel,ISR,GDP per capita (current US$),NY.GDP.PCAP.CD,44575.5719,52270.90402,54949.62156,52003.72007
Italy,ITA,GDP per capita (current US$),NY.GDP.PCAP.CD,32091.48666,36852.54254,35653.90421,39065.42444
Jamaica,JAM,GDP per capita (current US$),NY.GDP.PCAP.CD,4879.440258,5165.337821,6022.153398,6839.725024
Jordan,JOR,GDP per capita (current US$),NY.GDP.PCAP.CD,4022.040136,4183.499983,4332.251599,4466.083142
Japan,JPN,GDP per capita (current US$),NY.GDP.PCAP.CD,40028.73417,40094.55998,34065.6439,33836.17563
Kazakhstan,KAZ,GDP per capita (current US$),NY.GDP.PCAP.CD,8781.507978,9983.601036,11255.33964,12879.42753
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1927.66459,2061.356221,2109.562885,1952.304579
Kyrgyz Republic,KGZ,GDP per capita (current US$),NY.GDP.PCAP.CD,1229.517666,1349.997307,1739.720183,2138.222102
Cambodia,KHM,GDP per capita (current US$),NY.GDP.PCAP.CD,2081.739142,2167.403242,2325.0305,2429.748535
Kiribati,KIR,GDP per capita (current US$),NY.GDP.PCAP.CD,1751.78232,2222.048295,2069.767201,2177.701141
St. Kitts and Nevis,KNA,GDP per capita (current US$),NY.GDP.PCAP.CD,18859.01904,18361.14497,20985.01122,22600.45023
"Korea, Rep.",KOR,GDP per capita (current US$),NY.GDP.PCAP.CD,31721.29891,35125.5225,32394.68337,33121.37129
Kuwait,KWT,GDP per capita (current US$),NY.GDP.PCAP.CD,25236.07555,34018.63429,39981.7691,34075.84904
Latin America & Caribbean (excluding high income),LAC,GDP per capita (current US$),NY.GDP.PCAP.CD,6892.381716,7955.361334,9093.652742,10166.92867
Lao PDR,LAO,GDP per capita (current US$),NY.GDP.PCAP.CD,2583.777307,2526.05105,2046.404403,2066.949798
Lebanon,LBN,GDP per capita (current US$),NY.GDP.PCAP.CD,5561.19167,4045.373911,3654.358455,3477.724898
Liberia,LBR,GDP per capita (current US$),NY.GDP.PCAP.CD,616.787867,667.9661051,744.6171752,799.1944702
Libya,LBY,GDP per capita (current US$),NY.GDP.PCAP.CD,6650.338106,4935.827873,5986.636949,6172.812469
